edge_name,start_vertex,start_id,end_vertex,end_id
edge_person_has_nchca,vertex_person_jg,zjhm,vertex_nchcAccount_jg,nchca
edge_find_common_father,vertex_person_jg,zjhm,vertex_person_jg,zjhm
edge_phone_receive_package,vertex_phonenumber_jg,phone,vertex_package_jg,packageid
edge_find_common_guardian,vertex_person_jg,zjhm,vertex_person_jg,zjhm
edge_person_legal_com,vertex_person_jg,zjhm,vertex_company_jg,company
edge_person_work_com2,vertex_person_jg,zjhm,vertex_company_jg,company
edge_same_kss_house,vertex_person_jg,zjhm,vertex_person_jg,zjhm
edge_same_qjs_house,vertex_person_jg,zjhm,vertex_person_jg,zjhm
edge_email_send_email,vertex_email_jg,email,vertex_email_jg,email
edge_case_VictimIs_person,vertex_case_jg,asjbh,vertex_person_jg,zjhm
edge_person_open_vbn,vertex_person_jg,zjhm,vertex_vbn_jg,kdzh
edge_find_common_hukou,vertex_person_jg,zjhm,vertex_person_jg,zjhm
edge_phone_sameimei,vertex_phonenumber_jg,phone,vertex_phonenumber_jg,phone
edge_schoolmate,vertex_person_jg,zjhm,vertex_person_jg,zjhm
edge_person_with_coach_travel,vertex_person_jg,zjhm,vertex_person_jg,zjhm
edge_person_with_airline_travel,vertex_person_jg,zjhm,vertex_person_jg,zjhm
edge_person_with_trainline_travel,vertex_person_jg,zjhm,vertex_person_jg,zjhm
edge_person_with_internetbar_surfing,vertex_person_jg,zjhm,vertex_person_jg,zjhm
edge_phone_wechat_phone,vertex_phonenumber_jg,phone,vertex_phonenumber_jg,phone
edge_phone_qq_phone,vertex_phonenumber_jg,phone,vertex_phonenumber_jg,phone
edge_phone_email_phone,vertex_phonenumber_jg,phone,vertex_phonenumber_jg,phone
edge_person_with_car,vertex_person_jg,zjhm,vertex_autolpn_jg,autolpn
relation_score_res,vertex_person_jg,zjhm,vertex_person_jg,zjhm
